chi_kappa,L,P_demand,S_supply,Deficit,Deficit_Ratio,Is_Vulnerable
0.04,0.35000000000000003,0.0927144647208601,0.1448663511263439,-0.05215188640548381,-0.36,0
0.04,0.36,0.09808811941080381,0.14692129562570974,-0.04883317621490593,-0.3323764332933137,0
0.04,0.37,0.10361314465539384,0.14894789198915584,-0.045334747333762,-0.30436649171955116,0
0.04,0.38,0.10928954045463019,0.15094728201491164,-0.04165774156028146,-0.2759754333050277,0
0.04,0.39,0.11511730680851283,0.15292053285077611,-0.037803226042263285,-0.24720830706987315,0
0.04,0.4,0.12109644371704183,0.15486864365339206,-0.033772199936350236,-0.21806996651907803,0
0.04,0.41000000000000003,0.127226951180217,0.1567925515026698,-0.029565600322452784,-0.18856508194491212,0
0.04,0.42000000000000004,0.1335088291980386,0.158693136670725,-0.02518430747268638,-0.15869815167206452,0
0.04,0.43000000000000005,0.1399420777705064,0.16057122732939869,-0.02062914955889228,-0.12847351235955415,0
0.04,0.44000000000000006,0.14652669689762057,0.16242760376778778,-0.01590090687016721,-0.09789534845874907,0
0.04,0.45000000000000007,0.15326268657938097,0.16426300218071477,-0.011000315601333799,-0.06696770091436503,0
0.04,0.4600000000000001,0.1601500468157878,0.16607811808031042,-0.005928071264522633,-0.03569447518459954,0
0.04,0.47000000000000003,0.1671887776068408,0.16787360937554646,-0.0006848317687056515,-0.004079448647426345,0
0.04,0.48000000000000004,0.1743788789525401,0.16965009915838422,0.0047287797941558685,0.027873722547848975,1
0.04,0.49000000000000005,0.18172035085288585,0.17140817822999468,0.010312172622891164,0.060161497131451566,1
0.04,0.5,0.18921319330787773,0.173148407396088,0.016064785911789725,0.09278044282001685,1
0.04,0.51,0.196857406317516,0.174871319556632,0.02198608676088401,0.12572723083823834,1
0.04,0.52,0.20465298988180058,0.1765774216120332,0.028075568269767398,0.158998630818461,1
0.04,0.53,0.21259994400073143,0.17826719620510603,0.034332747795625396,0.1925915060453619,1
0.04,0.54,0.22069826867430867,0.17994110331579552,0.04075716535851315,0.22650280901626227,1
0.04,0.55,0.22894796390253205,0.18159958172358723,0.047348382178944826,0.2607295772906229,1
0.05,0.25,0.07391140363588977,0.12243441302142478,-0.04852300938553501,-0.39631838947963083,0
0.05,0.26,0.07994257417257836,0.1248590922263047,-0.044916518053726345,-0.3597376630955799,0
0.05,0.27,0.08621026120090182,0.1272375743687882,-0.04102731316788637,-0.322446520781447,0
0.05,0.28,0.09271446472086015,0.1295724035083433,-0.03685793878748314,-0.28445824720006696,0
0.05,0.29000000000000004,0.09945518473245332,0.13186589843702945,-0.03241071370457613,-0.2457854084242513,0
0.05,0.3,0.1064324212356812,0.1341201796534772,-0.027687758417796,-0.20643991448067053,0
0.05,0.31,0.1136461742305441,0.1363371923209402,-0.022691018090396087,-0.16643307452731626,0
0.05,0.32,0.12109644371704177,0.13851872591687042,-0.01742228219982865,-0.12577564574398648,0
0.05,0.33,0.12878322969517428,0.14066643113873722,-0.011883201443562946,-0.08447787682793147,0
0.05,0.34,0.1367065321649417,0.1427818345203098,-0.006075302355368101,-0.042549546836813674,0
0.05,0.35000000000000003,0.1448663511263439,0.1448663511263439,0.0,0.0,0
0.05,0.36,0.15326268657938097,0.14692129562570974,0.006341390953671228,0.043161822979197496,1
0.05,0.37,0.16189553852405292,0.14894789198915584,0.012947646534897078,0.08692735668820162,1
0.05,0.38,0.17076490696035967,0.15094728201491164,0.01981762494544803,0.13128838546089425,1
0.05,0.39,0.17987079188830127,0.15292053285077611,0.026950259037525154,0.17623702020332305,1
0.05,0.4,0.18921319330787786,0.15486864365339206,0.0343445496544858,0.22176567731394062,1
0.05,0.41000000000000003,0.1987921112190891,0.1567925515026698,0.041999559716419305,0.2678670594610749,1
0.05,0.42000000000000004,0.2086075456219353,0.158693136670725,0.0499144089512103,0.31453413801239893,1
0.05,0.43000000000000005,0.2186594965164162,0.16057122732939869,0.05808826918701751,0.36176013693819625,1
0.05,0.44000000000000006,0.22894796390253216,0.16242760376778778,0.06652036013474438,0.4095385180332047,1
0.05,0.45000000000000007,0.2394729477802828,0.16426300218071477,0.07520994559956803,0.4578629673213049,1
0.05,0.4600000000000001,0.2502344481496684,0.16607811808031042,0.08415633006935797,0.506727382524063,1
0.05,0.47000000000000003,0.2612324650106889,0.16787360937554646,0.09335885563514246,0.5561258614883973,1
